electric_grid_name,node_name,is_phase_1_connected,is_phase_2_connected,is_phase_3_connected,voltage,latitude,longitude
oganda_grid,hv,1,0,0,132e3,48.267354,11.667887
oganda_grid,mv,1,0,0,15e3,48.267429,11.667887
oganda_grid,a1,1,0,0,15e3,48.267579,11.667887
oganda_grid,a2,1,0,0,15e3,48.267729,11.667887
oganda_grid,a3,1,0,0,15e3,48.267354,11.668037
oganda_grid,a4,1,0,0,15e3,48.267429,11.668037
oganda_grid,b1,1,0,0,15e3,48.267579,11.668037
oganda_grid,b2,1,0,0,15e3,48.267579,11.668112
oganda_grid,b3,1,0,0,15e3,48.267579,11.668212
oganda_grid,b4,1,0,0,15e3,48.267579,11.668312
oganda_grid,b5,1,0,0,15e3,48.267354,11.668112
oganda_grid,b6,1,0,0,15e3,48.267354,11.668312
oganda_grid,b7,1,0,0,15e3,48.267279,11.668312
oganda_grid,b8,1,0,0,15e3,48.267129,11.668312
oganda_grid,b9,1,0,0,15e3,48.267129,11.668462
oganda_grid,b10,1,0,0,15e3,48.267354,11.668462
oganda_grid,b11,1,0,0,15e3,48.267354,11.668612
oganda_grid,b12,1,0,0,15e3,48.267354,11.668762
oganda_grid,b13,1,0,0,15e3,48.267279,11.668762
oganda_grid,b14,1,0,0,15e3,48.267129,11.668762
