node_name,electric_grid_name,is_phase_1_connected,is_phase_2_connected,is_phase_3_connected,voltage,latitude,longitude
0,case141_dist,1,0,0,12500.0,,
1,case141_dist,1,0,0,12500.0,,
2,case141_dist,1,0,0,12500.0,,
3,case141_dist,1,0,0,12500.0,,
4,case141_dist,1,0,0,12500.0,,
5,case141_dist,1,0,0,12500.0,,
6,case141_dist,1,0,0,12500.0,,
7,case141_dist,1,0,0,12500.0,,
8,case141_dist,1,0,0,12500.0,,
9,case141_dist,1,0,0,12500.0,,
10,case141_dist,1,0,0,12500.0,,
11,case141_dist,1,0,0,12500.0,,
12,case141_dist,1,0,0,12500.0,,
13,case141_dist,1,0,0,12500.0,,
14,case141_dist,1,0,0,12500.0,,
15,case141_dist,1,0,0,12500.0,,
16,case141_dist,1,0,0,12500.0,,
17,case141_dist,1,0,0,12500.0,,
18,case141_dist,1,0,0,12500.0,,
19,case141_dist,1,0,0,12500.0,,
20,case141_dist,1,0,0,12500.0,,
21,case141_dist,1,0,0,12500.0,,
22,case141_dist,1,0,0,12500.0,,
23,case141_dist,1,0,0,12500.0,,
24,case141_dist,1,0,0,12500.0,,
25,case141_dist,1,0,0,12500.0,,
26,case141_dist,1,0,0,12500.0,,
27,case141_dist,1,0,0,12500.0,,
28,case141_dist,1,0,0,12500.0,,
29,case141_dist,1,0,0,12500.0,,
30,case141_dist,1,0,0,12500.0,,
31,case141_dist,1,0,0,12500.0,,
32,case141_dist,1,0,0,12500.0,,
33,case141_dist,1,0,0,12500.0,,
34,case141_dist,1,0,0,12500.0,,
35,case141_dist,1,0,0,12500.0,,
36,case141_dist,1,0,0,12500.0,,
37,case141_dist,1,0,0,12500.0,,
38,case141_dist,1,0,0,12500.0,,
39,case141_dist,1,0,0,12500.0,,
40,case141_dist,1,0,0,12500.0,,
41,case141_dist,1,0,0,12500.0,,
42,case141_dist,1,0,0,12500.0,,
43,case141_dist,1,0,0,12500.0,,
44,case141_dist,1,0,0,12500.0,,
45,case141_dist,1,0,0,12500.0,,
46,case141_dist,1,0,0,12500.0,,
47,case141_dist,1,0,0,12500.0,,
48,case141_dist,1,0,0,12500.0,,
49,case141_dist,1,0,0,12500.0,,
50,case141_dist,1,0,0,12500.0,,
51,case141_dist,1,0,0,12500.0,,
52,case141_dist,1,0,0,12500.0,,
