node_name,electric_grid_name,is_phase_1_connected,is_phase_2_connected,is_phase_3_connected,voltage,latitude,longitude
0,kerber_dorfnetz,1,0,0,10000.0,,
1,kerber_dorfnetz,1,0,0,400.0,,
2,kerber_dorfnetz,1,0,0,400.0,,
3,kerber_dorfnetz,1,0,0,400.0,,
4,kerber_dorfnetz,1,0,0,400.0,,
5,kerber_dorfnetz,1,0,0,400.0,,
6,kerber_dorfnetz,1,0,0,400.0,,
7,kerber_dorfnetz,1,0,0,400.0,,
8,kerber_dorfnetz,1,0,0,400.0,,
9,kerber_dorfnetz,1,0,0,400.0,,
10,kerber_dorfnetz,1,0,0,400.0,,
11,kerber_dorfnetz,1,0,0,400.0,,
12,kerber_dorfnetz,1,0,0,400.0,,
13,kerber_dorfnetz,1,0,0,400.0,,
14,kerber_dorfnetz,1,0,0,400.0,,
15,kerber_dorfnetz,1,0,0,400.0,,
16,kerber_dorfnetz,1,0,0,400.0,,
17,kerber_dorfnetz,1,0,0,400.0,,
18,kerber_dorfnetz,1,0,0,400.0,,
19,kerber_dorfnetz,1,0,0,400.0,,
20,kerber_dorfnetz,1,0,0,400.0,,
21,kerber_dorfnetz,1,0,0,400.0,,
22,kerber_dorfnetz,1,0,0,400.0,,
23,kerber_dorfnetz,1,0,0,400.0,,
24,kerber_dorfnetz,1,0,0,400.0,,
25,kerber_dorfnetz,1,0,0,400.0,,
26,kerber_dorfnetz,1,0,0,400.0,,
27,kerber_dorfnetz,1,0,0,400.0,,
28,kerber_dorfnetz,1,0,0,400.0,,
29,kerber_dorfnetz,1,0,0,400.0,,
30,kerber_dorfnetz,1,0,0,400.0,,
31,kerber_dorfnetz,1,0,0,400.0,,
32,kerber_dorfnetz,1,0,0,400.0,,
33,kerber_dorfnetz,1,0,0,400.0,,
34,kerber_dorfnetz,1,0,0,400.0,,
35,kerber_dorfnetz,1,0,0,400.0,,
36,kerber_dorfnetz,1,0,0,400.0,,
37,kerber_dorfnetz,1,0,0,400.0,,
