line_type,row,col,resistance,reactance,capacitance
kerber_vorstadtnetz_kabel_2_NAYY 4x185,1,1,0.165,0.08042478,830.0
kerber_vorstadtnetz_kabel_2_NAYY 4x185,2,2,0.165,0.08042478,830.0
kerber_vorstadtnetz_kabel_2_NAYY 4x185,3,3,0.165,0.08042478,830.0
kerber_vorstadtnetz_kabel_2_NAYY 4x185,2,1,0,0,0
kerber_vorstadtnetz_kabel_2_NAYY 4x185,3,1,0,0,0
kerber_vorstadtnetz_kabel_2_NAYY 4x185,3,2,0,0,0
kerber_vorstadtnetz_kabel_2_NAYY 4x50,1,1,0.6417,0.084823,670.0
kerber_vorstadtnetz_kabel_2_NAYY 4x50,2,2,0.6417,0.084823,670.0
kerber_vorstadtnetz_kabel_2_NAYY 4x50,3,3,0.6417,0.084823,670.0
kerber_vorstadtnetz_kabel_2_NAYY 4x50,2,1,0,0,0
kerber_vorstadtnetz_kabel_2_NAYY 4x50,3,1,0,0,0
kerber_vorstadtnetz_kabel_2_NAYY 4x50,3,2,0,0,0
kerber_vorstadtnetz_kabel_2_NYY 4x35,1,1,0.5240284,0.08513716,0.0
kerber_vorstadtnetz_kabel_2_NYY 4x35,2,2,0.5240284,0.08513716,0.0
kerber_vorstadtnetz_kabel_2_NYY 4x35,3,3,0.5240284,0.08513716,0.0
kerber_vorstadtnetz_kabel_2_NYY 4x35,2,1,0,0,0
kerber_vorstadtnetz_kabel_2_NYY 4x35,3,1,0,0,0
kerber_vorstadtnetz_kabel_2_NYY 4x35,3,2,0,0,0
