internal_gain_type,time,internal_gain_occupancy,internal_gain_appliances
generic_internal_gains,2017-01-02T00:00:00,10,0.5
generic_internal_gains,2017-01-02T00:10:00,10,0.5
generic_internal_gains,2017-01-02T00:20:00,10,0.5
generic_internal_gains,2017-01-02T00:30:00,10,0.5
generic_internal_gains,2017-01-02T00:40:00,10,0.5
generic_internal_gains,2017-01-02T00:50:00,10,0.5
generic_internal_gains,2017-01-02T01:00:00,10,0.5
generic_internal_gains,2017-01-02T01:10:00,10,0.5
generic_internal_gains,2017-01-02T01:20:00,10,0.5
generic_internal_gains,2017-01-02T01:30:00,10,0.5
generic_internal_gains,2017-01-02T01:40:00,10,0.5
generic_internal_gains,2017-01-02T01:50:00,10,0.5
generic_internal_gains,2017-01-02T02:00:00,10,0.5
generic_internal_gains,2017-01-02T02:10:00,10,0.5
generic_internal_gains,2017-01-02T02:20:00,10,0.5
generic_internal_gains,2017-01-02T02:30:00,10,0.5
generic_internal_gains,2017-01-02T02:40:00,10,0.5
generic_internal_gains,2017-01-02T02:50:00,10,0.5
generic_internal_gains,2017-01-02T03:00:00,10,0.5
generic_internal_gains,2017-01-02T03:10:00,10,0.5
generic_internal_gains,2017-01-02T03:20:00,10,0.5
generic_internal_gains,2017-01-02T03:30:00,10,0.5
generic_internal_gains,2017-01-02T03:40:00,10,0.5
generic_internal_gains,2017-01-02T03:50:00,10,0.5
generic_internal_gains,2017-01-02T04:00:00,10,0.5
generic_internal_gains,2017-01-02T04:10:00,10,0.5
generic_internal_gains,2017-01-02T04:20:00,10,0.5
generic_internal_gains,2017-01-02T04:30:00,10,0.5
generic_internal_gains,2017-01-02T04:40:00,10,0.5
generic_internal_gains,2017-01-02T04:50:00,10,0.5
generic_internal_gains,2017-01-02T05:00:00,10,0.5
generic_internal_gains,2017-01-02T05:10:00,10,0.5
generic_internal_gains,2017-01-02T05:20:00,10,0.5
generic_internal_gains,2017-01-02T05:30:00,10,0.5
generic_internal_gains,2017-01-02T05:40:00,10,0.5
generic_internal_gains,2017-01-02T05:50:00,10,0.5
generic_internal_gains,2017-01-02T06:00:00,10,0.5
generic_internal_gains,2017-01-02T06:10:00,10,0.5
generic_internal_gains,2017-01-02T06:20:00,10,0.5
generic_internal_gains,2017-01-02T06:30:00,10,0.5
generic_internal_gains,2017-01-02T06:40:00,10,0.5
generic_internal_gains,2017-01-02T06:50:00,10,0.5
generic_internal_gains,2017-01-02T07:00:00,10,0.5
generic_internal_gains,2017-01-02T07:10:00,10,0.5
generic_internal_gains,2017-01-02T07:20:00,10,0.5
generic_internal_gains,2017-01-02T07:30:00,10,0.5
generic_internal_gains,2017-01-02T07:40:00,10,0.5
generic_internal_gains,2017-01-02T07:50:00,10,0.5
generic_internal_gains,2017-01-02T08:00:00,10,0.5
generic_internal_gains,2017-01-02T08:10:00,10,0.5
generic_internal_gains,2017-01-02T08:20:00,10,0.5
